datetime,open,high,low,close,volume,Ticker
2021-03-09,232.88000,235.38000,231.67000,233.78000,33080500,MSFT
2021-03-10,237,237,232.039993,232.42000,29746800,MSFT
2021-03-11,234.96001,239.17000,234.31000,237.13000,29907600,MSFT
2021-03-12,234.0099945,235.82001,233.23000,235.75,22653700,MSFT
2021-03-15,234.96001,235.19000,231.81000,234.81000,26034900,MSFT
2021-03-16,236.28000,240.059998,235.94000,237.71001,28092200,MSFT
2021-03-17,236.14999,238.55000,233.23000,237.039993,29562100,MSFT
2021-03-18,232.56000,234.19000,230.33000,230.72000,34833000,MSFT
2021-03-19,231.020004,232.47000,229.35001,230.35001,46430700,MSFT
2021-03-22,230.27000,236.89999,230.14000,235.99001,30127000,MSFT
2021-03-23,237.49001,241.050003,237.070007,237.58000,31638400,MSFT
2021-03-24,237.85001,238,235.32001,235.46001,25620100,MSFT
2021-03-25,235.30000,236.94000,231.57001,232.34000,34061900,MSFT
2021-03-26,231.55000,236.71001,231.55000,236.48000,25479900,MSFT
2021-03-29,236.59000,236.80000,231.88000,235.24001,25227500,MSFT
2021-03-30,233.53000,233.85001,231.10001,231.85001,24792000,MSFT
2021-03-31,232.91000,239.10001,232.39000,235.77000,43623500,MSFT
2021-04-01,238.47000,242.84000,238.050003,242.35001,30338000,MSFT
2021-04-05,242.75999,249.96001,242.70000,249.070007,36910600,MSFT
2021-04-06,247.61000,249.39999,246.88000,247.86000,22931900,MSFT
2021-04-07,247.81000,250.92999,247.19000,249.89999,22719800,MSFT
2021-04-08,252.77000,254.14000,252,253.25,23625200,MSFT
2021-04-09,252.87000,255.99001,252.44000,255.85001,24326800,MSFT
2021-04-12,254.71001,257.67001,254.62000,255.91000,27148700,MSFT
2021-04-13,257.26001,259.19000,256.82999,258.48999,23837500,MSFT
2021-04-14,257.48001,258.82999,255.16000,255.59000,23070900,MSFT
2021-04-15,257.92999,259.92999,257.73001,259.5,25627500,MSFT
2021-04-16,259.47000,261,257.60001,260.73999,24878600,MSFT
2021-04-19,260.19000,261.48001,257.82001,258.73999,23209300,MSFT
2021-04-20,257.82001,260.20001,256.84000,258.26001,19722900,MSFT
2021-04-21,258.94000,260.67999,257.25,260.57999,24030400,MSFT
2021-04-22,260.20999,261.78000,255.64000,257.17001,25606200,MSFT
2021-04-23,257.88000,261.51001,257.26999,261.14999,21462600,MSFT
2021-04-26,261.66000,262.44000,260.17001,261.54999,19763300,MSFT
2021-04-27,261.57999,263.19000,260.12000,261.97000,31014200,MSFT
2021-04-28,256.079987,256.54001,252.95000,254.56000,46903100,MSFT
2021-04-29,255.46001,256.10001,249,252.50999,40589000,MSFT
2021-04-30,249.74001,253.080002,249.60001,252.17999,30945100,MSFT
2021-05-03,253.39999,254.35001,251.12000,251.86000,19626600,MSFT
2021-05-04,250.97000,251.21001,245.75999,247.78999,32756100,MSFT
2021-05-05,249.059998,249.5,245.82001,246.47000,21901300,MSFT
2021-05-06,246.45000,249.86000,244.69000,249.73000,26491100,MSFT
